titel,status,grounding_quote,task_type,inhaltsfelder,kompetenzen,afb_max,stamm_quelle,bild_pfad,n_antworten,probleme
Null Komma Acht,ready,4/5,MULTI_PART,arithmetik_algebra,ope,1,emf_text_records,,2,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta2_antwort_ist_satz
Ohrhänger,partial,3/5,MULTI_PART,funktionen,kom|mod|ope|pro,2,emf_text_records,,0,ta1_antwort_erfordert_begruendung; ta2_antwort_erfordert_begruendung
Osterhase,ready,5/5,MULTI_PART,arithmetik_algebra,kom|mod|ope,2,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; ta2_auswertung_zelle_leer
Papier,ready,5/5,SHORT_INPUT,funktionen,mod|ope,1,emf_text_records,,1,
Pappschachtel,partial,1/5,MULTI_PART,geometrie,kom|ope|pro,1,vision_transkription,vera8_assets/pappschachtel/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Parfum,ready,4/5,MULTI_PART,geometrie,kom|mod|ope,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_loesung_ist_intervall; ta2_antwort_erfordert_begruendung
Parkhaus,partial,2/5,FREE_TEXT,funktionen,kom|mod|ope,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext
Parlamentswahl,ready,5/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,2,emf_text_records,,1,ta2_loesung_ist_freitext
Passende Schuhe,ready,5/5,MULTI_PART,arithmetik_algebra,arg|kom|ope,2,emf_text_records,,1,ta1_antwort_erfordert_begruendung
Pflaumen,ready,4/5,SHORT_INPUT,funktionen,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Pinsel,ready,4/5,MULTI_PART,funktionen,ope,2,vision_transkription,vera8_assets/pinsel/aufgabe_01.png,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_loesung_ist_intervall; ta2_auswertung_zelle_leer
Plättchen ziehen,partial,2/5,?,stochastik,kom|mod,1,emf_text_records,,0,ta1_auswertung_zelle_leer
Prozentanteil schätzen,ready,4/5,MULTIPLE_CHOICE,arithmetik_algebra,kom|pro,1,emf_text_records,,1,keine_typischen_fehler_belegt
Punkt gesucht,doc_pending,4/5,MULTI_PART,geometrie,,3,-,,1,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_loesung_ist_freitext
Punkte auf Geraden,partial,3/5,MULTI_PART,funktionen,arg|kom|ope,3,emf_text_records,,0,ta1_loesung_ist_freitext; ta2_antwort_erfordert_begruendung; ta3_loesung_ist_freitext
Punkte im Koordinatensystem,doc_pending,4/5,MULTI_PART,geometrie,,1,-,,2,kein_stamm_extrahierbar; ta1_antwort_ist_satz
Punktgenau,ready,5/5,MULTI_PART,geometrie,kom,1,emf_text_records,,1,ta2_loesung_ist_freitext
Pyramidenbau,ready,5/5,SHORT_INPUT,geometrie,kom,1,emf_text_records,,1,grafik_als_emf_nicht_renderbar
Quader,doc_pending,4/5,MULTI_PART,geometrie,,1,-,,2,kein_stamm_extrahierbar
Quadernetz,ready,5/5,MULTIPLE_CHOICE,geometrie,kom,2,emf_text_records,,1,
Quadernetz 2,partial,2/5,MULTIPLE_CHOICE,geometrie,kom|pro,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar
Quadernetz vervollständigen,ready,5/5,SHORT_INPUT,geometrie,kom|pro,2,emf_text_records,,1,ta1_antwort_ist_satz
Quadrat im Gitter,ready,4/5,SHORT_INPUT,geometrie,kom|pro,1,emf_text_records,,1,keine_typischen_fehler_belegt
Quadrat im Koordinatensystem,ready,5/5,MULTIPLE_CHOICE,geometrie,kom|ope|pro,1,emf_text_records,,1,
Quadrat und Raute,ready,4/5,MULTI_PART,geometrie,kom,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext; ta2_antwort_ist_satz
Quadrat zeichnen,partial,3/5,FREE_TEXT,geometrie,ope,1,emf_text_records,,0,ta1_loesung_ist_freitext
Quadratdifferenz,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,3,-,,3,kein_stamm_extrahierbar; ta1_antwort_erfordert_begruendung; ta2_antwort_ist_satz
Quadrate,partial,2/5,FREE_TEXT,geometrie,kom,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext
Quadratfläche,doc_pending,2/5,FREE_TEXT,geometrie,,1,-,,0,kein_stamm_extrahierbar; ta1_loesung_ist_freitext
Rabattaktion,doc_pending,4/5,SHORT_INPUT,arithmetik_algebra,,2,-,,1,kein_stamm_extrahierbar
Raten beim Test,ready,4/5,MULTI_PART,stochastik,mod|ope,2,emf_text_records,,2,keine_typischen_fehler_belegt
Rathausuhr,ready,4/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,2,emf_text_records,,2,keine_typischen_fehler_belegt; ta2_antwort_ist_satz
Rauminhalt von Prismen,ready,5/5,SHORT_INPUT,geometrie,kom,2,emf_text_records,,1,
Rauten,ready,4/5,MULTI_PART,geometrie,kom|ope|pro,3,emf_text_records,,3,keine_typischen_fehler_belegt; ta2_auswertung_ohne_konkrete_loesung
Rechenvorteil,doc_pending,2/5,FREE_TEXT,arithmetik_algebra,,1,-,,0,kein_stamm_extrahierbar; ta1_loesung_ist_freitext
Rechteck,partial,2/5,FREE_TEXT,geometrie,kom,1,vision_transkription,vera8_assets/rechteck/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext
Rechtskurve,quarantined,0/5,?,funktionen,kom|mod,2,-,,0,auswertung_loesung_nur_als_formelgrafik; kein_stamm_extrahierbar; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Regelmäßige Vielecke,doc_pending,4/5,MULTI_PART,geometrie,,3,-,,3,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_antwort_ist_satz; ta3_antwort_ist_satz
Reiseverlauf,partial,2/5,MULTI_PART,funktionen,arg|kom|mod,3,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_erfordert_begruendung
Restaurantgewinnspiel,doc_pending,4/5,MULTI_PART,stochastik,,2,-,,2,kein_stamm_extrahierbar; ta3_antwort_erfordert_begruendung
Richtig umgeformt,partial,3/5,MULTI_PART,arithmetik_algebra,ope,1,emf_text_records,,0,ta1_loesung_ist_freitext; ta2_loesung_ist_freitext
Rollrasen,doc_pending,4/5,MULTI_PART,geometrie,,2,-,,3,kein_stamm_extrahierbar; ta2_antwort_erfordert_begruendung; ta3_loesung_ist_intervall
Rolltreppe,doc_pending,4/5,MULTI_PART,funktionen,,2,-,,2,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta1_loesung_ist_intervall; ta2_loesung_ist_intervall; ta3_loesung_ist_freitext
"Rot, gelb, grün",partial,2/5,MULTI_PART,stochastik,arg|mod,2,vision_transkription,vera8_assets/rotgelbgruen/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_erfordert_begruendung
Rubbellose,ready,4/5,MULTI_PART,stochastik,kom|mod|ope,2,emf_text_records,,2,keine_typischen_fehler_belegt
Rundfunkgebühren,ready,5/5,MULTI_PART,stochastik,kom|mod|pro,3,emf_text_records,,6,ta1_antwort_ist_satz; ta1_loesung_ist_intervall; ta2_antwort_ist_satz; ta3_loesung_ist_freitext
Räumungsverkauf,partial,2/5,MULTI_PART,arithmetik_algebra,arg|kom|mod|ope,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_antwort_erfordert_begruendung
Sauerkraut,ready,5/5,MULTI_PART,funktionen,kom|mod|ope,2,emf_text_records,,1,ta1_loesung_ist_freitext
Schachteln packen,ready,5/5,MULTI_PART,geometrie,arg|kom|pro,2,emf_text_records,,2,auswertung_loesung_nur_als_formelgrafik; ta3_auswertung_zelle_leer
Schlüssel,partial,1/5,MULTIPLE_CHOICE,stochastik,kom|mod,1,vision_transkription,vera8_assets/schluessel/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Schneekristalle,partial,3/5,MULTIPLE_CHOICE,geometrie,kom|pro,1,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar
Schnittpunkt von Graphen,doc_pending,2/5,FREE_TEXT,funktionen,,1,-,,0,kein_stamm_extrahierbar; ta1_antwort_erfordert_begruendung
Schokoladenbonbons,partial,3/5,MULTI_PART,stochastik,arg|kom|mod,2,emf_text_records,,0,ta1_auswertung_zelle_leer; ta2_antwort_erfordert_begruendung
Schokoladenfiguren,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,2,-,,2,kein_stamm_extrahierbar
Schokoladenpreis,ready,5/5,MULTI_PART,funktionen,kom,1,emf_text_records,,2,
Schokolinsen,partial,2/5,FREE_TEXT,geometrie,kom|mod|ope,3,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Schrankbreiten,partial,3/5,FREE_TEXT,arithmetik_algebra,kom|pro,2,emf_text_records,,0,ta1_loesung_ist_freitext
Schulgrundstück,doc_pending,2/5,MULTI_PART,geometrie,,1,-,,0,kein_stamm_extrahierbar; ta1_loesung_ist_freitext; ta2_loesung_ist_freitext
Schulkleidung,ready,4/5,MULTI_PART,stochastik,kom,3,vision_transkription,vera8_assets/schulkleidung/aufgabe_01.png,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta2_loesung_ist_freitext
Schulstatistik,doc_pending,3/5,SHORT_INPUT,stochastik,kom,1,-,,1,kein_stamm_extrahierbar; keine_typischen_fehler_belegt
Schwarz-Weiß-Würfel,partial,3/5,MULTI_PART,stochastik,arg|kom|mod,2,emf_text_records,,0,ta1_auswertung_zelle_leer; ta2_loesung_ist_freitext
Skala und Zahlen,partial,1/5,?,arithmetik_algebra,kom|ope,2,vision_transkription,vera8_assets/skalaundzahlen/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Spielwürfel,partial,1/5,MULTI_PART,stochastik,kom|mod,3,vision_transkription,vera8_assets/spielwuerfel/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Sprechstunde,ready,4/5,MULTI_PART,stochastik,kom,1,emf_text_records,,2,keine_typischen_fehler_belegt
Stammbrüche untersuchen,ready,4/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,2,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Steile Straße,ready,4/5,MULTI_PART,arithmetik_algebra,kom|mod|ope|pro,2,emf_text_records,,2,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_loesung_ist_intervall; ta2_antwort_ist_satz; ta2_loesung_ist_intervall; ta3_antwort_erfordert_begruendung
Sterne und Sandkörner,ready,5/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,2,emf_text_records,,2,
Strecke im Koordinatenkreuz,ready,5/5,MULTI_PART,geometrie,kom|pro,1,emf_text_records,,3,
Streichholzziehen,ready,4/5,MULTIPLE_CHOICE,stochastik,kom|mod,1,emf_text_records,,1,keine_typischen_fehler_belegt
Suche die Zahl,ready,5/5,SHORT_INPUT,arithmetik_algebra,ope|pro,1,emf_text_records,,1,
Säulenhöhe,ready,5/5,MULTI_PART,stochastik,kom|ope|pro,2,emf_text_records,,2,
Tabelle,doc_pending,4/5,SHORT_INPUT,funktionen,,2,-,,1,kein_stamm_extrahierbar
Tabelle ausfüllen,partial,1/5,?,funktionen,kom|pro,1,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Tankinhalt,ready,4/5,SHORT_INPUT,funktionen,kom|mod|ope,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_loesung_ist_intervall
Temperatur,ready,4/5,MULTI_PART,funktionen,kom|ope,2,vision_transkription,vera8_assets/temperatur/aufgabe_01.png,1,keine_typischen_fehler_belegt; ta2_auswertung_zelle_leer
Temperaturdifferenz,ready,5/5,SHORT_INPUT,arithmetik_algebra,ope,1,emf_text_records,,1,
Temperaturen in Frankfurt am Main,doc_pending,4/5,MULTI_PART,stochastik,kom,2,-,,3,kein_stamm_extrahierbar; ta2_antwort_ist_satz
Thermometer,ready,4/5,MULTI_PART,arithmetik_algebra,kom|mod|ope,1,emf_text_records,,7,keine_typischen_fehler_belegt
Tombola zum Schulfest,ready,5/5,MULTI_PART,stochastik,kom,1,emf_text_records,,1,ta2_loesung_ist_freitext; ta2_mc_optionen_nicht_zerlegbar
Traktor,ready,4/5,MULTIPLE_CHOICE,funktionen,ope,2,emf_text_records,,1,keine_typischen_fehler_belegt
Trapez ohne Symmetrie,partial,1/5,MULTIPLE_CHOICE,geometrie,arg|kom,2,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Trapezvariation,partial,2/5,MULTI_PART,funktionen,arg|kom|ope|pro,3,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar; ta2_antwort_erfordert_begruendung
Treppenmaße,ready,5/5,MULTI_PART,arithmetik_algebra|funktionen,arg|kom|mod|ope|pro,2,emf_text_records,,2,auswertung_loesung_nur_als_formelgrafik; ta1_auswertung_zelle_leer; ta3_antwort_erfordert_begruendung
Tropfender Wasserhahn,ready,4/5,MULTI_PART,funktionen,kom|mod,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta2_antwort_ist_satz; ta2_mc_position_uneindeutig
Tunnelbohrmaschine,doc_pending,4/5,MULTI_PART,funktionen,,1,-,,1,kein_stamm_extrahierbar; ta1_loesung_ist_freitext; ta2_antwort_ist_satz
Umfang und Fläche,ready,5/5,MULTI_PART,geometrie,kom|pro,2,emf_text_records,,2,
Unfertiger Würfel,ready,5/5,MULTI_PART,geometrie,kom|pro,2,emf_text_records,,2,
Ungewöhnlicher Mittelwert,keine_quelle,0/5,MULTI_PART,,,2,-,,0,kein_stamm_extrahierbar; keine_typischen_fehler_belegt
Ungewöhnlicher Spielwürfel,ready,4/5,MULTI_PART,geometrie,kom|pro,2,vision_transkription,vera8_assets/ungewoehnlicherspielwuerfel/aufgabe_01.png,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta2_loesung_ist_freitext
Ungleichung erfüllen,doc_pending,2/5,FREE_TEXT,funktionen,,1,-,,0,kein_stamm_extrahierbar; ta1_loesung_ist_freitext
Unregelmäßiges Viereck,doc_pending,2/5,FREE_TEXT,geometrie,,3,-,,0,kein_stamm_extrahierbar; ta1_loesung_ist_freitext
Verbindungsstrecken,ready,4/5,MULTI_PART,arithmetik_algebra,kom|pro,3,vision_transkription,vera8_assets/verbindungsstrecken/aufgabe_01.png,2,keine_typischen_fehler_belegt
Verkehrszeichen,doc_pending,4/5,MULTI_PART,geometrie,kom,1,-,,4,kein_stamm_extrahierbar
Verlauf des Graphen,partial,1/5,MULTI_PART,funktionen,kom,3,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Verschiedene Rechtecke,partial,2/5,MULTI_PART,funktionen,kom|pro,3,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_antwort_erfordert_begruendung; ta3_auswertung_zelle_leer
Viele Brötchen,partial,3/5,FREE_TEXT,funktionen,kom|mod|ope,1,emf_text_records,,0,ta1_loesung_ist_freitext
Volumenverkleinerung,doc_pending,4/5,MULTI_PART,funktionen,,2,-,,1,kein_stamm_extrahierbar; ta2_antwort_erfordert_begruendung
Von links wie von rechts,ready,4/5,MULTI_PART,arithmetik_algebra,pro,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Waage,ready,5/5,MULTI_PART,stochastik,ope,1,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; ta1_auswertung_zelle_leer
Wahl,ready,4/5,MULTI_PART,arithmetik_algebra,kom|ope,1,vision_transkription,vera8_assets/wahl/aufgabe_01.png,2,keine_typischen_fehler_belegt; ta2_antwort_ist_satz; ta2_loesung_ist_intervall
Wahrscheinlicher,partial,3/5,MULTIPLE_CHOICE,stochastik,arg|mod,1,emf_text_records,,0,ta1_antwort_erfordert_begruendung
Weitsprung,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,3,-,,6,kein_stamm_extrahierbar; ta1_loesung_ist_freitext; ta3_antwort_erfordert_begruendung; ta4_antwort_ist_satz
Werbelotterie,partial,1/5,MULTI_PART,stochastik,kom|mod|ope,2,vision_transkription,vera8_assets/werbelotterie/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Werbemarkt,partial,2/5,FREE_TEXT,stochastik,kom|mod|pro,3,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Wettkampf wählen,partial,2/5,FREE_TEXT,stochastik,kom|ope,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Winkel Gamma,ready,5/5,SHORT_INPUT,geometrie,arg|kom|ope,3,emf_text_records,,1,ta1_antwort_ist_satz
Winkel im Dreieck,ready,5/5,SHORT_INPUT,geometrie,kom|ope|pro,2,emf_text_records,,1,
Winkel im Parallelogramm,doc_pending,2/5,FREE_TEXT,geometrie,,3,-,,0,kein_stamm_extrahierbar; ta1_antwort_erfordert_begruendung
Winkel messen,ready,5/5,SHORT_INPUT,geometrie,kom|ope,1,emf_text_records,,1,ta1_loesung_ist_intervall
Winkelwürfel,partial,2/5,MULTI_PART,stochastik,kom|mod|ope|pro,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta1_mc_position_uneindeutig; ta2_antwort_erfordert_begruendung
Wo liegt C,partial,2/5,MULTI_PART,geometrie,kom|pro,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_antwort_erfordert_begruendung
Wo sind die Punkte,ready,4/5,MULTI_PART,funktionen,kom,1,emf_text_records,,2,keine_typischen_fehler_belegt
Wundersame Rechenergebnisse,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,3,-,,1,kein_stamm_extrahierbar; ta2_antwort_erfordert_begruendung
Würfelbau,doc_pending,4/5,SHORT_INPUT,geometrie,kom,1,-,,1,kein_stamm_extrahierbar
Würfelkörper,doc_pending,4/5,MULTI_PART,geometrie,,1,-,,2,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_antwort_ist_satz
Würfeln mit Quader,partial,3/5,MULTI_PART,stochastik,kom|mod|ope|pro,3,emf_text_records,,0,ta1_loesung_ist_freitext; ta2_loesung_ist_freitext
Würfeln mit zwei Würfeln,doc_pending,4/5,MULTI_PART,stochastik,,2,-,,7,kein_stamm_extrahierbar
Würfelnetze,partial,2/5,MULTIPLE_CHOICE,geometrie,kom,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_mc_position_uneindeutig
Würfeloberfläche,partial,2/5,MULTIPLE_CHOICE,geometrie,arg|kom|ope|pro,3,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Würfelturm,ready,4/5,MULTI_PART,funktionen|geometrie,kom|ope|pro,3,emf_text_records,,2,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta2_auswertung_zelle_leer
Würfelturm 2,ready,4/5,MULTI_PART,funktionen|geometrie,kom|ope|pro,2,vision_transkription,vera8_assets/wuerfelturm2/aufgabe_01.png,1,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta2_auswertung_zelle_leer; ta3_auswertung_zelle_leer
Zahl gesucht,doc_pending,4/5,SHORT_INPUT,funktionen,,1,-,,1,kein_stamm_extrahierbar
Zahl gesucht 2,ready,4/5,SHORT_INPUT,arithmetik_algebra,kom,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_loesung_ist_intervall
Zahlen addieren,ready,5/5,MULTI_PART,arithmetik_algebra,ope|pro,1,emf_text_records,,3,ta2_antwort_ist_satz
Zahlen gesucht,doc_pending,4/5,MULTI_PART,arithmetik_algebra,pro,2,-,,5,kein_stamm_extrahierbar
Zahlenmauer,doc_pending,4/5,MULTI_PART,arithmetik_algebra,pro,1,-,,3,kein_stamm_extrahierbar
Zahlenstrahl,partial,1/5,MULTI_PART,arithmetik_algebra,kom,1,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Zahlensuche,ready,5/5,SHORT_INPUT,arithmetik_algebra,kom|ope,1,emf_text_records,,1,ta1_antwort_ist_satz
Zahlensumme,doc_pending,2/5,FREE_TEXT,arithmetik_algebra,,2,-,,0,kein_stamm_extrahierbar; ta1_antwort_erfordert_begruendung
Zahlenwürfel,ready,5/5,MULTI_PART,stochastik,kom|mod,2,emf_text_records,,5,ta3_antwort_erfordert_begruendung
Zeitangabe,ready,4/5,SHORT_INPUT,geometrie,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Zeitumrechnung,ready,4/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,3,emf_text_records,,2,keine_typischen_fehler_belegt; ta2_antwort_ist_satz; ta3_loesung_ist_freitext
Zoobesuch,partial,2/5,MULTIPLE_CHOICE,funktionen,kom|mod,1,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; ta1_auswertung_zelle_leer
Zufallsversuche,doc_pending,4/5,MULTI_PART,stochastik,,3,-,,5,kein_stamm_extrahierbar; ta2_antwort_ist_satz; ta3_antwort_erfordert_begruendung
Zuschauerzahlen,ready,5/5,MULTI_PART,arithmetik_algebra,arg|kom|ope,3,emf_text_records,,1,ta2_antwort_erfordert_begruendung
Zwanzig Prozent,ready,4/5,SHORT_INPUT,arithmetik_algebra,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Zwei Kreise,partial,2/5,MULTI_PART,geometrie,arg|kom|pro,3,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext; ta2_antwort_erfordert_begruendung
Zwei Taschenrechner,partial,2/5,MULTI_PART,arithmetik_algebra,arg|kom|mod|ope,3,vision_transkription,vera8_assets/zweitaschenrechner/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_loesung_ist_freitext
Zwei Thermometeranzeigen,ready,5/5,SHORT_INPUT,arithmetik_algebra,kom|ope,1,emf_text_records,,1,
Zweite Gerade,ready,4/5,SHORT_INPUT,funktionen,kom,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz
Zwischen zwei Zahlen,ready,5/5,MULTIPLE_CHOICE,arithmetik_algebra,ope,1,emf_text_records,,1,
Zwischen zwei Zahlen 2,partial,2/5,MULTI_PART,arithmetik_algebra,pro,1,vision_transkription,vera8_assets/zwischenzweizahlen2/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_loesung_ist_freitext; ta2_auswertung_zelle_leer
Zählung von Fahrzeugen,doc_pending,4/5,SHORT_INPUT,stochastik,kom,1,-,,1,kein_stamm_extrahierbar
fuehrerschein,ready,4/5,MULTI_PART,stochastik,arg|kom,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta2_antwort_erfordert_begruendung
Überschlag doch mal,partial,3/5,MULTIPLE_CHOICE,arithmetik_algebra,mod|ope|pro,2,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar
Überschlagsrechnung,ready,5/5,MULTIPLE_CHOICE,arithmetik_algebra,pro,1,emf_text_records,,1,
