titel,slug,datei_ext,aufgabe_status,aufgabe_chars,aufgabe_stem_chars,auswertung_status,auswertung_chars,verdikt
700 Milliarden,700milliarden,doc,ok,28,0,ok,85,stem_nur_bild
Abstand auf dem Wasser,abstandaufdemwasser,doc,ok,36,0,ok,30,stem_nur_bild
Apfelsaftschorle,apfelsaftschorle,doc,ok,16,0,ok,315,stem_nur_bild
Aussagen zur proportionalen Zuordnung,aussagenzurprop,doc,ok,51,0,ok,45,stem_nur_bild
Berechne x,berechnex,doc,ok,10,0,ok,24,stem_nur_bild
Bewege C,bewegec,doc,ok,84,0,ok,1530,stem_nur_bild
Bonbons,bonbons,doc,ok,7,0,ok,15,stem_nur_bild
Brettspiel,brettspiel,doc,ok,24,0,ok,18,stem_nur_bild
Briefmarkenschachteln,briefmarkenschachteln,doc,ok,49,0,ok,150,stem_nur_bild
Chancen,chancen,doc,ok,35,0,ok,1316,stem_nur_bild
Computerspielsucht,computerspielsucht,doc,ok,32,0,ok,26,stem_nur_bild
Darstellung in Diagrammen,darstellungindiagrammen,doc,ok,25,0,ok,90,stem_nur_bild
Drehkörper,drehkoerper,doc,ok,24,0,ok,18,stem_nur_bild
Dreieck im Rechteck,dreieckimrechteck,docx,unsupported_ggb,-1,,keine_url,-1,unsupported_ggb
Fahrradcomputer,fahrradcomputer,doc,ok,43,0,ok,1074,stem_nur_bild
Fahrradtour,fahrradtour,doc,ok,120,0,ok,356,stem_nur_bild
Fieberthermometer,fieberthermometer,doc,ok,45,0,ok,77,stem_nur_bild
Fische zählen,fischezaehlen,doc,ok,27,0,ok,26,stem_nur_bild
Fliesen,fliesen,doc,ok,21,0,ok,18,stem_nur_bild
Frühstücksbrötchen,fruehstuecksbroetchen,doc,ok,162,0,ok,1551,stem_nur_bild
Fünfundvierzig,fuenfundvierzig,doc,ok,14,0,ok,24,stem_nur_bild
Fußballtabelle,fussballtabelle,docx,ok,59,0,ok,1115,stem_nur_bild
Fußleisten,fussleisten,doc,ok,90,0,ok,143,stem_nur_bild
Geometrische Körper erkennen,geometrischekoerper,doc,ok,28,0,ok,36,stem_nur_bild
Geschichte zur Graphik,geschichtezurgraphik,doc,ok,22,0,ok,30,stem_nur_bild
Gleichungen lösen ist nicht schwierig,gleichungenloesenistni,doc,ok,238,0,ok,3480,stem_nur_bild
Glücksrad,gluecksrad,doc,ok,87,0,ok,294,stem_nur_bild
Glücksrad drehen,gluecksraddrehen,doc,ok,44,0,ok,694,stem_nur_bild
Harzwanderung,harzwanderung,doc,ok,41,0,ok,422,stem_nur_bild
Hochrad,hochrad,doc,ok,118,0,ok,270,stem_nur_bild
Holzstab,holzstab,doc,ok,84,0,ok,312,stem_nur_bild
Innenwinkel,innenwinkel,docx,unsupported_ggb,-1,,keine_url,-1,unsupported_ggb
Joggen,joggen,doc,ok,48,0,ok,1503,stem_nur_bild
Judomatte,judomatte,doc,ok,23,0,ok,17,stem_nur_bild
Kauf eines DVD-Players,dvdplayer,docx,ok,50,0,ok,1255,stem_nur_bild
Kraftfutter,kraftfutter,doc,ok,11,0,ok,100,stem_nur_bild
Kreise färben,kreisefaerben,doc,ok,13,0,ok,110,stem_nur_bild
Kreise und Vierecke,kreiseundvierecke,doc,ok,47,0,ok,955,stem_nur_bild
Lineare Funktionen anwenden,linearefunktionen,doc,ok,27,0,ok,105,stem_nur_bild
Linear und proportional,linearundproportional,doc,ok,129,0,ok,120,stem_nur_bild
Literberechnungen,literberechnungen,doc,ok,111,0,ok,339,stem_nur_bild
Maßstabsrechner,massstabsrechner,doc,ok,15,0,ok,23,stem_nur_bild
Mathematikarbeit,mathematikarbeit,doc,ok,30,0,ok,24,stem_nur_bild
Mitte zwischen Zahlen,mittezwischenzahlen,doc,ok,21,0,ok,34,stem_nur_bild
Punkte im Koordinatensystem,punkteimkoordinatensystem,doc,ok,127,0,ok,987,stem_nur_bild
Punkt gesucht,punktgesucht,doc,ok,41,0,ok,606,stem_nur_bild
Quader,quader,doc,ok,34,0,ok,62,stem_nur_bild
Quadratdifferenz,quadratdifferenz,doc,ok,58,0,ok,1607,stem_nur_bild
Quadratfläche,quadratflaeche,doc,ok,27,0,ok,598,stem_nur_bild
Rabattaktion,rabattaktion,doc,ok,12,0,ok,20,stem_nur_bild
Rathausuhr,rathausuhr,docx,ok,38,0,ok,584,stem_nur_bild
Rechenvorteil,rechenvorteil,doc,ok,27,0,ok,342,stem_nur_bild
Regelmäßige Vielecke,regelmaessigevielecke,doc,ok,156,0,ok,1247,stem_nur_bild
Restaurantgewinnspiel,restaurantgewinnspiel,doc,ok,174,0,ok,1825,stem_nur_bild
Rollrasen,rollrasen,doc,ok,126,0,ok,1154,stem_nur_bild
Rolltreppe,rolltreppe,doc,ok,52,0,ok,792,stem_nur_bild
Rundfunkgebühren,rundfunkgebuehren,docx,ok,58,0,ok,3713,stem_nur_bild
Schnittpunkt von Graphen,schnittpunktvongraphen,doc,ok,38,0,ok,1370,stem_nur_bild
Schokoladenfiguren,schokoladenfiguren,doc,ok,114,0,ok,91,stem_nur_bild
Schulgrundstück,schulgrundstueck,doc,ok,43,0,ok,166,stem_nur_bild
Schulstatistik,schulstatistik,doc,ok,14,0,ok,22,stem_nur_bild
Tabelle,tabelle,doc,ok,7,0,ok,15,stem_nur_bild
Temperaturen in Frankfurt am Main,temperaturen,doc,ok,75,0,ok,302,stem_nur_bild
Tunnelbohrmaschine,tunnelbohrmaschine,doc,ok,46,0,ok,527,stem_nur_bild
Ungewöhnlicher Mittelwert,,docx,keine_url,-1,,keine_url,-1,keine_url
Ungleichung erfüllen,ungleichungerfuellen,doc,ok,20,0,ok,73,stem_nur_bild
Unregelmäßiges Viereck,unregelmaessigesviereck,doc,ok,22,0,ok,3534,stem_nur_bild
Verkehrszeichen,verkehrszeichen,doc,ok,71,0,ok,512,stem_nur_bild
Volumenverkleinerung,volumenverkleinerung,doc,ok,48,0,ok,1860,stem_nur_bild
Weitsprung,weitsprung,doc,ok,170,0,ok,3083,stem_nur_bild
Winkel im Parallelogramm,winkelimparallelogramm,doc,ok,38,0,ok,2237,stem_nur_bild
Wundersame Rechenergebnisse,wundersamerechenergebnisse,doc,ok,141,0,ok,2848,stem_nur_bild
Würfelbau,wuerfelbau,doc,ok,9,0,ok,17,stem_nur_bild
Würfelkörper,wuerfelkoerper,doc,ok,40,0,ok,151,stem_nur_bild
Würfeln mit zwei Würfeln,wuerfelnmitzweiwuerfeln,doc,ok,186,0,ok,405,stem_nur_bild
Zahlen gesucht,zahlengesucht,doc,ok,42,0,ok,255,stem_nur_bild
Zahlenmauer,zahlenmauer,doc,ok,53,0,ok,371,stem_nur_bild
Zahlensumme,zahlensumme,doc,ok,11,0,ok,1252,stem_nur_bild
Zahl gesucht,zahlgesucht,doc,ok,12,0,ok,20,stem_nur_bild
Zählung von Fahrzeugen,zaehlungvonfahrzeugen,doc,ok,22,0,ok,314,stem_nur_bild
Zufallsversuche,zufallsversuche,doc,ok,71,0,ok,2309,stem_nur_bild
